Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Uruguay,URY,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,491,604,659,587,745,705,668,585,579,723,766,1000,776,1397,1433,1232,1268,1414,1678,2443,3443,3728,3085,1707,1615,1568,1939,2416,2677,2734,2995,3589,4102,4753,5508,6050,6398,7436,7837,7371,6988,6383,4150,3671,4169,5284,6001,7222,9424,9881,12641,15132,16260,18335,18322,17126,17010,19185,19250,18316,15790,17888,20692,22798
Letonia,LVA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257,2360,2610,2894,3064,3278,3505,4004,4915,6110,7284,9212,13371,15678,11996,11188,12903,13329,14484,15186,13322,13839,15132,17252,17295,17564,20263,20229,22503
Curacao,CUW,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15841,16610,16724,16696,16671,17032,17400,18006,19423,19540,19847,19426,19810,19721,19623,19362,18944,18938,19119,19221,16356,17980,20502,22192
Hungría,HUN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,475,526,557,605,707,873,953,1080,1245,1384,1613,1859,2151,2206,2248,2043,1985,2013,2323,2558,2803,2893,3313,3350,3735,3874,4173,4495,4525,4596,4744,4793,4624,5276,6655,8419,10302,11223,11490,13941,15772,13077,13218,14234,12985,13715,14294,12717,13105,14621,16425,16786,16132,18755,18353,22142
Polonia,POL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731,2236,2459,2497,2875,3701,4164,4137,4534,4416,4521,5015,5223,5721,6712,8044,9069,11273,14049,11556,12568,13868,13087,13622,14262,12638,12464,13913,15658,15875,15988,18636,18891,22057
Croacia,HRV,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369,4001,2321,2448,3238,4929,5300,5331,5713,5269,4954,5365,6220,8190,9719,10444,11503,13758,15889,14476,13731,14695,13509,14136,14188,12285,12821,13903,15460,15564,14808,17790,18466,21865
Antigua y Barbuda,ATG,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1213,1375,1705,2053,2310,2569,2847,3270,3814,4629,5424,6466,7187,7590,7956,8153,8624,9351,9034,9756,10336,10907,11342,12021,11536,11657,12171,13036,14366,16172,18204,18785,16471,15216,14842,15209,15051,15533,16081,16558,16925,18273,18884,15360,17340,20118,21787
Omán,OMN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,83,85,102,107,108,108,113,175,300,372,387,442,524,670,2203,2692,3143,3205,3044,3934,5974,6866,6759,6714,7070,7549,5182,5204,5279,5591,7546,6977,7318,7039,7068,7414,8068,8235,7219,7915,9754,9612,9869,10464,11801,14435,16931,18793,26577,20656,23570,25188,24642,23458,23161,18808,17110,17820,19902,19180,16785,19403,23666,21550
Guyana,GUY,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,299,319,327,289,313,336,353,378,340,361,381,396,395,421,588,664,604,593,663,689,779,735,621,631,565,588,657,464,545,503,529,466,498,603,716,820,928,983,940,909,932,932,951,974,1033,1084,3136,3608,4009,4209,4582,4947,5444,5557,5473,5640,5871,6179,6048,6406,6776,9861,17913,20765
Trinidad y Tobago,TTO,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,634,678,704,756,780,793,768,797,783,795,829,894,1067,1273,1962,2319,2345,2907,3258,4155,5559,6160,7091,6690,6613,6212,3985,3941,3656,3482,4047,4205,4277,3647,3840,4115,4427,4394,4613,5179,6179,6657,6763,8445,9871,12346,14153,16607,21299,14634,16815,19151,20472,21416,22074,20025,17522,17720,18076,17431,15225,17913,22004,20016
Panamá,PAN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,477,516,546,587,611,651,689,745,778,830,893,979,1046,1164,1296,1406,1457,1503,1738,1938,2357,2605,2811,2819,2875,2972,3019,2966,2509,2462,2620,2821,3140,3358,3508,3514,3308,3546,3808,3950,3975,3992,4091,4265,4645,5018,5529,6318,7348,7797,8331,9662,11065,12273,13213,14083,14832,15695,16151,16478,13291,15510,17332,18686
Rumania,ROU,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659,1753,1790,1648,1254,1102,1158,1323,1650,1633,1577,1853,1600,1660,1825,2120,2679,3495,4618,5758,8360,10435,8548,8400,9561,8930,9498,10032,8977,9405,10728,12502,12992,13082,14987,15558,18404
Seychelles,SYC,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,288,270,287,308,332,328,338,333,314,314,344,402,547,649,745,806,814,1044,1377,2030,2478,2557,2441,2426,2488,2754,3368,3872,4392,4689,5642,5655,6520,6979,6975,7181,7004,7747,8210,8243,8064,8153,8864,9070,10828,11802,12783,12669,11265,9747,10935,12110,12337,14821,15188,15333,16567,17480,18440,19142,14041,14983,17167,17879
Chile,CHL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,504,580,663,645,674,678,780,755,756,864,929,1087,1163,1627,1543,714,954,1269,1431,1923,2523,2955,1648,1693,1611,1429,1501,1740,2003,2265,2466,2770,3309,3495,3981,5056,5334,5742,5420,4934,5053,4564,4431,4773,6121,7480,9319,10346,10683,10099,12633,14487,15242,15684,14530,13434,13650,14880,15659,14496,13115,16217,15451,17068
Costa Rica,CRI,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,382,356,335,346,354,374,395,414,445,477,536,570,639,769,817,937,1123,1393,1556,1735,2021,1068,1032,1213,1372,1429,1569,1567,1555,1725,1830,2253,2612,2840,3040,3275,3227,3408,3617,3691,3813,3985,4068,4173,4431,4703,5257,6138,6937,6833,8266,9276,10127,10803,10911,11715,12091,12317,12590,12885,12394,12838,13626,16942
